age,hhtype,obs
0,Couple: Dependent children,478775
0,Lone parent: Dependent children,112159
0,Couple: No dependent children,12783
0,Multi-person household: Other,1677
0,One-person household,1291
0,Lone parent household: No dependent children,198
0,Does not apply,0
0,Multi-person household: All students,0
1,Couple: Dependent children,490460
1,Lone parent: Dependent children,131006
1,Couple: No dependent children,11666
1,Multi-person household: Other,1602
1,One-person household,394
1,Lone parent household: No dependent children,184
1,Does not apply,0
1,Multi-person household: All students,0
2,Couple: Dependent children,494445
2,Lone parent: Dependent children,142970
2,Couple: No dependent children,10359
2,Multi-person household: Other,1626
2,One-person household,225
2,Lone parent household: No dependent children,188
2,Does not apply,0
2,Multi-person household: All students,0
3,Couple: Dependent children,496025
3,Lone parent: Dependent children,151262
3,Couple: No dependent children,9300
3,Multi-person household: Other,1509
3,Lone parent household: No dependent children,171
3,One-person household,75
3,Does not apply,0
3,Multi-person household: All students,0
4,Couple: Dependent children,510085
4,Lone parent: Dependent children,159028
4,Couple: No dependent children,8682
4,Multi-person household: Other,1537
4,Lone parent household: No dependent children,181
4,One-person household,78
4,Does not apply,0
4,Multi-person household: All students,0
5,Couple: Dependent children,517337
5,Lone parent: Dependent children,165064
5,Couple: No dependent children,8187
5,Multi-person household: Other,1772
5,Lone parent household: No dependent children,213
5,One-person household,107
5,Does not apply,0
5,Multi-person household: All students,0
6,Couple: Dependent children,507958
6,Lone parent: Dependent children,166381
6,Couple: No dependent children,7865
6,Multi-person household: Other,1687
6,Lone parent household: No dependent children,272
6,One-person household,126
6,Does not apply,0
6,Multi-person household: All students,0
7,Couple: Dependent children,510216
7,Lone parent: Dependent children,172611
7,Couple: No dependent children,7791
7,Multi-person household: Other,1870
7,Lone parent household: No dependent children,243
7,One-person household,101
7,Does not apply,0
7,Multi-person household: All students,0
8,Couple: Dependent children,525961
8,Lone parent: Dependent children,185042
8,Couple: No dependent children,8185
8,Multi-person household: Other,2032
8,Lone parent household: No dependent children,289
8,One-person household,187
8,Does not apply,0
8,Multi-person household: All students,0
9,Couple: Dependent children,529772
9,Lone parent: Dependent children,189804
9,Couple: No dependent children,8151
9,Multi-person household: Other,2184
9,Lone parent household: No dependent children,324
9,One-person household,104
9,Does not apply,0
9,Multi-person household: All students,0
10,Couple: Dependent children,526504
10,Lone parent: Dependent children,192884
10,Couple: No dependent children,8208
10,Multi-person household: Other,2351
10,Lone parent household: No dependent children,371
10,One-person household,73
10,Does not apply,0
10,Multi-person household: All students,0
11,Couple: Dependent children,516637
11,Lone parent: Dependent children,194232
11,Couple: No dependent children,8387
11,Multi-person household: Other,2628
11,Lone parent household: No dependent children,406
11,One-person household,102
11,Does not apply,0
11,Multi-person household: All students,0
12,Couple: Dependent children,511133
12,Lone parent: Dependent children,195077
12,Couple: No dependent children,8623
12,Multi-person household: Other,2756
12,Lone parent household: No dependent children,488
12,One-person household,118
12,Does not apply,0
12,Multi-person household: All students,0
13,Couple: Dependent children,504491
13,Lone parent: Dependent children,196553
13,Couple: No dependent children,8837
13,Multi-person household: Other,2868
13,Lone parent household: No dependent children,519
13,One-person household,233
13,Does not apply,0
13,Multi-person household: All students,0
14,Couple: Dependent children,483115
14,Lone parent: Dependent children,193986
14,Couple: No dependent children,8895
14,Multi-person household: Other,3341
14,Lone parent household: No dependent children,541
14,One-person household,169
14,Does not apply,0
14,Multi-person household: All students,0
15,Couple: Dependent children,465327
15,Lone parent: Dependent children,190774
15,Couple: No dependent children,9187
15,Multi-person household: Other,3622
15,Lone parent household: No dependent children,653
15,One-person household,219
15,Does not apply,0
15,Multi-person household: All students,0
16,Couple: Dependent children,454870
16,Lone parent: Dependent children,191777
16,Couple: No dependent children,16208
16,Multi-person household: Other,4590
16,Lone parent household: No dependent children,4457
16,One-person household,897
16,Multi-person household: All students,536
16,Does not apply,0
17,Couple: Dependent children,427011
17,Lone parent: Dependent children,180111
17,Couple: No dependent children,30700
17,Lone parent household: No dependent children,11675
17,Multi-person household: Other,6092
17,One-person household,2820
17,Multi-person household: All students,1435
17,Does not apply,0
18,Couple: Dependent children,324302
18,Lone parent: Dependent children,139579
18,Couple: No dependent children,67559
18,Lone parent household: No dependent children,27182
18,Multi-person household: Other,8137
18,One-person household,7667
18,Multi-person household: All students,3953
18,Does not apply,0
19,Couple: Dependent children,164567
19,Couple: No dependent children,158738
19,Lone parent household: No dependent children,70076
19,Lone parent: Dependent children,68603
19,Multi-person household: All students,50377
19,One-person household,14423
19,Multi-person household: Other,13469
19,Does not apply,0
20,Couple: No dependent children,180261
20,Couple: Dependent children,144199
20,Multi-person household: All students,116153
20,Lone parent household: No dependent children,68999
20,Lone parent: Dependent children,59404
20,Multi-person household: Other,22411
20,One-person household,22343
20,Does not apply,0
21,Couple: No dependent children,224062
21,Couple: Dependent children,132069
21,Multi-person household: All students,109116
21,Lone parent household: No dependent children,74584
21,Lone parent: Dependent children,55759
21,Multi-person household: Other,34526
21,One-person household,29108
21,Does not apply,0
22,Couple: No dependent children,281996
22,Couple: Dependent children,123209
22,Lone parent household: No dependent children,81768
22,Multi-person household: All students,60268
22,Lone parent: Dependent children,52936
22,Multi-person household: Other,49395
22,One-person household,36246
22,Does not apply,0
23,Couple: No dependent children,323376
23,Couple: Dependent children,114467
23,Lone parent household: No dependent children,84079
23,Multi-person household: Other,63488
23,Lone parent: Dependent children,50965
23,One-person household,43505
23,Multi-person household: All students,27096
23,Does not apply,0
24,Couple: No dependent children,346910
24,Couple: Dependent children,110861
24,Lone parent household: No dependent children,79445
24,Multi-person household: Other,73881
24,One-person household,51933
24,Lone parent: Dependent children,50554
24,Multi-person household: All students,14290
24,Does not apply,0
25,Couple: No dependent children,354427
25,Couple: Dependent children,113531
25,Multi-person household: Other,76984
25,Lone parent household: No dependent children,72290
25,One-person household,57197
25,Lone parent: Dependent children,49038
25,Multi-person household: All students,9349
25,Does not apply,0
26,Couple: No dependent children,361737
26,Couple: Dependent children,125724
26,Multi-person household: Other,74676
26,One-person household,65636
26,Lone parent household: No dependent children,64933
26,Lone parent: Dependent children,51344
26,Multi-person household: All students,6215
26,Does not apply,0
27,Couple: No dependent children,361247
27,Couple: Dependent children,146847
27,One-person household,71900
27,Multi-person household: Other,70551
27,Lone parent household: No dependent children,59020
27,Lone parent: Dependent children,54374
27,Multi-person household: All students,4307
27,Does not apply,0
28,Couple: No dependent children,354528
28,Couple: Dependent children,175804
28,One-person household,76395
28,Multi-person household: Other,64473
28,Lone parent: Dependent children,57589
28,Lone parent household: No dependent children,52064
28,Multi-person household: All students,2954
28,Does not apply,0
29,Couple: No dependent children,343798
29,Couple: Dependent children,211766
29,One-person household,80779
29,Lone parent: Dependent children,62022
29,Multi-person household: Other,58951
29,Lone parent household: No dependent children,46839
29,Multi-person household: All students,2077
29,Does not apply,0
30,Couple: No dependent children,326739
30,Couple: Dependent children,254221
30,One-person household,85164
30,Lone parent: Dependent children,66152
30,Multi-person household: Other,53428
30,Lone parent household: No dependent children,42548
30,Multi-person household: All students,1474
30,Does not apply,0
31,Couple: No dependent children,291657
31,Couple: Dependent children,290998
31,One-person household,82852
31,Lone parent: Dependent children,67951
31,Multi-person household: Other,47770
31,Lone parent household: No dependent children,37320
31,Multi-person household: All students,1168
31,Does not apply,0
32,Couple: Dependent children,329732
32,Couple: No dependent children,263762
32,One-person household,82082
32,Lone parent: Dependent children,70670
32,Multi-person household: Other,42493
32,Lone parent household: No dependent children,33044
32,Multi-person household: All students,848
32,Does not apply,0
33,Couple: Dependent children,367336
33,Couple: No dependent children,240216
33,One-person household,82156
33,Lone parent: Dependent children,72802
33,Multi-person household: Other,37983
33,Lone parent household: No dependent children,30516
33,Multi-person household: All students,564
33,Does not apply,0
34,Couple: Dependent children,387510
34,Couple: No dependent children,207614
34,One-person household,79270
34,Lone parent: Dependent children,73356
34,Multi-person household: Other,33729
34,Lone parent household: No dependent children,26771
34,Multi-person household: All students,491
34,Does not apply,0
35,Couple: Dependent children,411805
35,Couple: No dependent children,187300
35,One-person household,78693
35,Lone parent: Dependent children,73521
35,Multi-person household: Other,31524
35,Lone parent household: No dependent children,24995
35,Multi-person household: All students,382
35,Does not apply,0
36,Couple: Dependent children,428958
36,Couple: No dependent children,167699
36,One-person household,76722
36,Lone parent: Dependent children,74216
36,Multi-person household: Other,28404
36,Lone parent household: No dependent children,23178
36,Multi-person household: All students,250
36,Does not apply,0
37,Couple: Dependent children,436066
37,Couple: No dependent children,151749
37,One-person household,75991
37,Lone parent: Dependent children,73090
37,Multi-person household: Other,25819
37,Lone parent household: No dependent children,21810
37,Multi-person household: All students,246
37,Does not apply,0
38,Couple: Dependent children,443430
38,Couple: No dependent children,141424
38,One-person household,75676
38,Lone parent: Dependent children,74262
38,Multi-person household: Other,23875
38,Lone parent household: No dependent children,21674
38,Multi-person household: All students,138
38,Does not apply,0
39,Couple: Dependent children,451590
39,Couple: No dependent children,134233
39,One-person household,75854
39,Lone parent: Dependent children,74022
39,Multi-person household: Other,23274
39,Lone parent household: No dependent children,21848
39,Multi-person household: All students,154
39,Does not apply,0
40,Couple: Dependent children,463647
40,Couple: No dependent children,134424
40,One-person household,79125
40,Lone parent: Dependent children,76326
40,Lone parent household: No dependent children,23039
40,Multi-person household: Other,22383
40,Multi-person household: All students,124
40,Does not apply,0
41,Couple: Dependent children,456194
41,Couple: No dependent children,132320
41,One-person household,78823
41,Lone parent: Dependent children,74863
41,Lone parent household: No dependent children,23392
41,Multi-person household: Other,20853
41,Multi-person household: All students,101
41,Does not apply,0
42,Couple: Dependent children,429739
42,Couple: No dependent children,126144
42,One-person household,75666
42,Lone parent: Dependent children,70258
42,Lone parent household: No dependent children,22892
42,Multi-person household: Other,19762
42,Multi-person household: All students,90
42,Does not apply,0
43,Couple: Dependent children,398453
43,Couple: No dependent children,123526
43,One-person household,73176
43,Lone parent: Dependent children,65040
43,Lone parent household: No dependent children,23136
43,Multi-person household: Other,17834
43,Multi-person household: All students,59
43,Does not apply,0
44,Couple: Dependent children,390411
44,Couple: No dependent children,130394
44,One-person household,74613
44,Lone parent: Dependent children,64353
44,Lone parent household: No dependent children,25003
44,Multi-person household: Other,17496
44,Multi-person household: All students,57
44,Does not apply,0
